番号,元信号,観測信号d(n),疑似エコーy(n),誤差,誤差10log10(e^2),,,
283,1.831004,1.362808,1.352327,0.010481,-39.591714,,,527.378
284,0.024119,1.144514,1.132783,0.011731,-38.613508,,,1300.26
285,1.003308,-0.884123,-0.890725,0.006603,-43.605592,,,435.353
286,0.19055,0.788355,0.785907,0.002448,-52.223062,,,-194.268
287,-0.541635,0.245539,0.240785,0.004754,-46.458216,,,338.438
288,-0.440545,1.080595,1.09026,-0.009665,-40.296376,,,1635.747
289,-0.344786,-0.657688,-0.652206,-0.005481,-45.22217,,,-714.787
290,0.215138,0.842025,0.850927,-0.008902,-41.010262,,,407.364
291,-0.478327,-0.420002,-0.409689,-0.010314,-39.731873,,,-432.976
292,-0.015692,-0.230825,-0.235916,0.005091,-45.863737,,,594.544
293,0.219896,-0.390866,-0.397468,0.006602,-43.605996,,,-1531.703
294,0.352159,0.123303,0.11974,0.003563,-48.963859,,,-904.966
295,0.826363,0.072733,0.062646,0.010087,-39.925166,,,1328.373
296,-1.048944,-0.350275,-0.348116,-0.002159,-53.316358,,,-386.985
297,1.133906,0.214753,0.210772,0.003981,-48.000344,,,-2230.469
298,0.385887,0.135445,0.133629,0.001815,-54.820484,,,169.717
299,-0.240166,0.174053,0.180091,-0.006037,-44.382891,,,-439.017
300,0.908621,0.4079,0.414269,-0.006369,-43.91809,,,1621.171
301,0.670914,-1.044542,-1.030525,-0.014017,-37.066887,,,-539.788
302,-1.561079,1.384453,1.396417,-0.011964,-38.442596,,,-44.57
303,0.799015,-0.568471,-0.56256,-0.00591,-44.567641,,,627.789
304,0.064388,0.140972,0.144577,-0.003605,-48.860844,,,-500.631
305,-0.626758,0.474303,0.468841,0.005462,-45.252794,,,-494.754
306,-1.008094,0.142125,0.134685,0.007441,-42.567709,,,-103.089
307,-0.684772,-1.380179,-1.390682,0.010503,-39.573805,,,-153.04
308,0.806841,1.338889,1.328263,0.010626,-39.472746,,,1632.762
309,1.078917,-0.603452,-0.607317,0.003865,-48.25755,,,1369.508
310,0.512123,-0.32349,-0.328622,0.005132,-45.793638,,,-1974.308
311,0.613239,-0.719278,-0.725476,0.006198,-44.155488,,,396.305
312,-0.660277,0.11593,0.120667,-0.004737,-46.490113,,,1643.136
313,-0.110712,0.623194,0.625376,-0.002182,-53.223606,,,955.557
314,0.50484,0.683342,0.692212,-0.00887,-41.041281,,,329.803
315,-0.678413,-0.204469,-0.192171,-0.012298,-38.203537,,,327.123
316,1.374903,0.410631,0.413775,-0.003144,-50.050874,,,1080.301
