番号,元信号,観測信号d(n),疑似エコーy(n),誤差,誤差10log10(e^2)
344,-2.158435,-1.599873,-0.624111,-0.975762,-0.213124
345,-0.691259,1.048631,-0.018112,1.066742,0.56119
346,-1.537307,-1.381711,-0.821659,-0.560052,-5.035428
347,-2.326519,-1.195324,-1.649099,0.453775,-6.863183
348,-1.903763,-1.491769,-1.362541,-0.129228,-17.77286
349,-1.315294,-0.806046,-0.554528,-0.251517,-11.988643
350,-2.331859,-0.29534,-0.525173,0.229833,-12.771744
351,-2.322475,-1.135557,-1.01846,-0.117097,-18.629055
352,-2.755213,-1.553404,-1.500359,-0.053045,-25.507079
353,-2.937362,-0.673686,-0.887616,0.21393,-13.394562
354,-1.116464,-0.74689,-0.803398,0.056508,-24.957811
355,-2.404766,-1.359342,-1.183057,-0.176285,-15.075697
356,-2.833828,-1.270419,-1.482078,0.211659,-13.487266
357,-1.971842,-1.390759,-1.351044,-0.039715,-28.020849
358,-1.668111,-1.317566,-0.954867,-0.362698,-8.809093
359,-3.641976,0.046243,-0.488797,0.53504,-5.432276
360,-3.839856,-1.832294,-1.306799,-0.525495,-5.588636
361,-5.424462,-1.148337,-1.149189,0.000851,-61.397671
362,-4.90431,-0.642304,-0.860557,0.218253,-13.220815
363,-3.667961,-0.615994,-0.810694,0.1947,-14.212696
364,-3.685768,-2.327512,-1.77997,-0.547543,-5.231643
365,-4.241453,-1.564202,-2.160769,0.596567,-4.486813
366,-3.051685,-2.911599,-2.489368,-0.422231,-7.489003
367,-3.49586,-1.439783,-1.457028,0.017244,-35.267064
368,-3.798442,-1.182758,-1.331375,0.148617,-16.55863
369,-5.215628,-1.43142,-1.410178,-0.021242,-33.456
370,-4.335749,-1.945938,-1.659542,-0.286396,-10.860673
371,-4.282912,-0.660538,-1.128455,0.467917,-6.596617
372,-4.062997,-1.602964,-1.80767,0.204706,-13.777392
373,-3.669654,-1.583109,-1.530232,-0.052877,-25.534717
374,-2.150978,-2.606405,-2.22088,-0.385524,-8.278964
375,-2.00592,-1.250937,-1.582743,0.331805,-9.582332
376,-0.720472,-1.736132,-1.521656,-0.214476,-13.372425
377,-0.060104,-1.350836,-1.297054,-0.053782,-25.387315
378,-0.013321,-1.228371,-1.19463,-0.03374,-29.43703
379,0.69508,-0.006637,-0.215326,0.208688,-13.610035
380,1.184461,-0.767862,-0.262494,-0.505369,-5.927834
381,1.782665,0.719084,0.269445,0.449639,-6.942724
382,2.218963,0.207334,0.313444,-0.106111,-19.484824
383,3.007345,0.53924,0.553748,-0.014508,-36.76788
384,2.706973,0.621908,0.745144,-0.123236,-18.18523
385,3.299729,1.18524,1.084795,0.100445,-19.961447
386,3.673239,1.124492,1.229483,-0.104992,-19.576883
387,3.680989,1.560509,1.625034,-0.064524,-23.805547
388,1.859107,1.666878,1.507218,0.15966,-15.936091
389,3.00969,1.518585,1.657984,-0.139399,-17.114788
390,2.008349,1.838441,1.947448,-0.109007,-19.250906
391,1.29245,2.129261,1.742222,0.387039,-8.24491
392,1.469282,1.636713,1.580842,0.055871,-25.05633
393,1.617976,0.586082,1.111083,-0.525,-5.596807
394,2.110787,1.848233,1.251944,0.596289,-4.490866
395,2.008167,0.749171,0.827482,-0.078311,-22.123559
396,2.898456,0.524723,0.733399,-0.208676,-13.610541
397,2.466081,0.909377,0.810307,0.09907,-20.081118
398,2.110256,0.943437,1.041555,-0.098118,-20.165018
399,1.943511,1.317549,1.165382,0.152167,-16.353611
400,1.744697,0.953688,1.270853,-0.317165,-9.974305
401,2.90264,1.834367,1.358993,0.475373,-6.459301
402,2.571268,0.879679,1.216712,-0.337033,-9.446548
403,4.908719,1.020918,0.855617,0.165301,-15.634479
404,4.645341,0.781274,0.939144,-0.157871,-16.033967
405,3.940187,1.006012,1.006814,-0.000802,-61.918178
406,5.337086,1.542608,1.434353,0.108255,-19.311068
407,6.355531,1.299905,1.826995,-0.52709,-5.56231
408,5.735426,2.983146,2.242268,0.740878,-2.605066
409,3.858885,1.698795,1.988305,-0.28951,-10.766728
410,4.648424,1.64527,1.970388,-0.325119,-9.759165
411,4.082805,2.791085,2.742952,0.048133,-26.351092
412,3.099006,3.052519,2.810752,0.241767,-12.332058
413,2.804516,1.940113,1.908874,0.031238,-30.106201
414,2.85027,1.066951,1.435941,-0.36899,-8.659718
415,0.426778,2.141482,1.675124,0.466358,-6.625611
416,-0.826325,1.225286,1.357177,-0.131891,-17.59572
417,-0.88042,0.858764,1.073034,-0.21427,-13.380787
418,-1.391889,0.942676,0.712352,0.230324,-12.753215
419,-0.133226,0.808605,0.390653,0.417952,-7.577482
420,-0.421793,-0.99602,-0.623489,-0.37253,-8.576766
421,-2.755697,-0.998009,-1.04566,0.047651,-26.438571
422,-0.406615,-0.659462,-0.874885,0.215423,-13.334142
423,-0.210168,-1.072011,-0.436797,-0.635214,-3.941598
424,-1.637275,0.22783,-0.552428,0.780258,-2.155237
425,-2.027826,-0.939029,-1.027924,0.088895,-21.022494
426,-1.743638,-2.123851,-1.223194,-0.900657,-0.908811
427,-1.750311,0.36475,-0.224946,0.589696,-4.587437
428,-2.579191,-0.513327,-0.616589,0.103262,-19.721165
429,-2.307742,-1.494587,-1.212801,-0.281786,-11.001598
430,-2.485371,-1.271611,-1.219134,-0.052477,-25.600637
431,-3.517983,-0.877409,-1.061171,0.183762,-14.714879
432,-4.306584,-1.06353,-1.060879,-0.002651,-51.533179
433,-6.179166,-1.71363,-1.224005,-0.489625,-6.202737
434,-6.949408,-1.100266,-1.527838,0.427573,-7.3798
435,-6.809334,-1.409509,-1.493379,0.08387,-21.527866
436,-6.110818,-2.185733,-1.981358,-0.204375,-13.79146
437,-4.745745,-2.428501,-2.747648,0.319147,-9.920182
438,-5.979821,-3.593845,-3.337249,-0.256597,-11.814985
439,-5.31089,-3.338387,-3.49668,0.158293,-16.010764
440,-7.134711,-3.083485,-2.916781,-0.166704,-15.56109
441,-6.892259,-2.280568,-2.372576,0.092008,-20.72349
442,-7.508179,-1.97027,-2.07022,0.09995,-20.004318
443,-4.709691,-3.121978,-2.870234,-0.251744,-11.98081
444,-4.536325,-2.291615,-2.87698,0.585365,-4.651459
445,-6.863804,-3.791319,-3.507745,-0.283574,-10.946659
446,-4.77118,-2.929409,-3.246899,0.31749,-9.965398
447,-5.455677,-3.401129,-2.566416,-0.834713,-1.569257
448,-4.897656,-0.809288,-1.664118,0.854831,-1.362397
449,-2.192626,-2.395718,-2.485757,0.090039,-20.911378
450,-2.81866,-3.404738,-2.689319,-0.715419,-2.908786
451,-1.07956,-1.272249,-2.220627,0.948378,-0.460373
452,-0.161216,-2.577323,-1.728899,-0.848424,-1.42774
453,-2.393443,-1.412604,-1.227579,-0.185025,-14.655386
454,-4.338531,0.020866,-0.494229,0.515095,-5.762253
455,-5.262612,-1.025008,-0.581289,-0.443719,-7.05784
456,-4.783575,0.476995,0.267325,0.20967,-13.569274
457,-5.755983,0.28576,0.035923,0.249836,-12.046892
458,-3.749963,-1.573769,-1.591554,0.017785,-34.998943
459,-1.745583,-2.398936,-2.11143,-0.287506,-10.827064
460,-1.465602,-1.971513,-2.118833,0.14732,-16.634772
461,-0.435272,-1.594223,-2.002538,0.408314,-7.780106
462,-0.337419,-2.24226,-1.571761,-0.6705,-3.472029
463,1.06921,-0.365909,-0.62946,0.26355,-11.582728
