番号,誤差,誤差10log10(e^2),白色信号
8290,0.000496,-33.046785,0.512462
8291,0.000084,-40.742927,-0.267038
8292,0.002893,-25.386328,0.513310
8293,0.000003,-55.107656,-1.248040
8294,0.001198,-29.216284,-0.558051
8295,0.001994,-27.003826,-1.525021
8296,0.001026,-29.887718,-2.289318
8297,0.000002,-56.476048,0.036285
8298,0.002560,-25.916917,1.477023
8299,0.000009,-50.260733,0.645772
8300,0.000701,-31.543728,0.327600
8301,0.000197,-37.049417,-1.255392
8302,0.003965,-24.017521,-2.217597
8303,0.000263,-35.794423,-0.533950
8304,0.000843,-30.743655,-1.312252
8305,0.000199,-37.004891,0.454214
8306,0.001622,-27.899574,0.650657
8307,0.000840,-30.758149,0.305572
8308,0.000182,-37.408840,0.159515
8309,0.000892,-30.496227,0.326265
8310,0.000205,-36.890864,1.088157
8311,0.001166,-29.331906,-0.888461
8312,0.000124,-39.052139,-0.782366
8313,0.000070,-41.565139,-0.492325
8314,0.001016,-29.931093,-1.090566
8315,0.000435,-33.619309,-0.498284
8316,0.002550,-25.935064,0.807767
8317,0.000153,-38.144203,-0.116773
8318,0.000001,-60.211175,0.532323
8319,0.001408,-28.514892,0.982854
8320,0.000089,-40.483322,0.657409
8321,0.001182,-29.272007,-0.184565
8322,0.000188,-37.261730,-1.032236
8323,0.000002,-57.853536,1.091940
8324,0.000020,-47.097712,0.085120
8325,0.000641,-31.931303,-0.723539
8326,0.000812,-30.902417,0.404851
8327,0.001189,-29.247909,0.217889
8328,0.000072,-41.418456,1.329906
8329,0.000420,-33.771165,1.034059
8330,0.000566,-32.471233,0.928571
8331,0.001461,-28.353886,-0.619976
8332,0.000868,-30.614044,2.199945
8333,0.006935,-21.589536,-2.581242
8334,0.001356,-28.676244,1.647734
8335,0.000092,-40.369940,1.004391
8336,0.000260,-35.856234,0.060751
8337,0.000235,-36.280536,1.807629
8338,0.005318,-22.742134,-0.166430
8339,0.005580,-22.533378,-0.159037
8340,0.000288,-35.410426,0.197940
8341,0.000021,-46.748454,0.604625
8342,0.000981,-30.083830,-0.369154
8343,0.000002,-57.961386,-0.092024
8344,0.000171,-37.658163,-0.581995
8345,0.000004,-54.096658,0.319318
8346,0.000446,-33.506456,-1.142403
8347,0.000033,-44.809417,-1.121382
8348,0.000046,-43.330561,-1.222323
8349,0.000033,-44.799105,-0.105021
8350,0.000221,-36.551761,-0.211124
8351,0.000028,-45.563913,-1.012396
8352,0.000008,-51.003420,-0.756698
8353,0.000596,-32.249854,1.039760
8354,0.000825,-30.833440,-1.407754
8355,0.000168,-37.755508,-0.433762
8356,0.002981,-25.256195,0.913574
8357,0.000553,-32.570057,-1.147464
8358,0.001143,-29.418826,-0.879817
8359,0.001583,-28.005475,-0.196355
8360,0.000044,-43.538849,0.628445
8361,0.000831,-30.803425,0.039843
8362,0.002421,-26.160772,1.256163
8363,0.000214,-36.689503,0.343698
8364,0.000011,-49.622580,-0.006541
8365,0.000259,-35.862275,-0.068304
8366,0.002042,-26.899012,1.767264
8367,0.001096,-29.600200,-0.535527
8368,0.000146,-38.358126,-1.067716
8369,0.000607,-32.171334,0.753192
8370,0.000001,-60.018332,-0.011442
8371,0.003067,-25.132660,-1.561323
8372,0.001292,-28.888798,-0.249462
8373,0.001189,-29.249147,2.170454
8374,0.000024,-46.272326,1.479336
8375,0.000483,-33.161188,1.595645
8376,0.001066,-29.721992,0.141766
8377,0.000544,-32.640521,-0.621965
8378,0.000702,-31.537741,0.565303
8379,0.001333,-28.750581,-1.953778
8380,0.000657,-31.827276,-0.694458
8381,0.000424,-33.730726,0.229674
8382,0.000232,-36.349753,-1.119044
8383,0.000067,-41.733456,1.352025
8384,0.005057,-22.960971,2.166978
8385,0.000047,-43.237048,0.650048
8386,0.000338,-34.709616,1.942721
8387,0.000001,-59.576003,-1.052501
8388,0.001721,-27.643447,-0.472874
8389,0.000024,-46.220143,1.155443
8390,0.000013,-48.918811,-0.217006
8391,0.001416,-28.490517,-0.329185
8392,0.003392,-24.695108,0.379660
8393,0.000335,-34.747690,-0.508852
8394,0.000002,-56.868088,1.386348
8395,0.000485,-33.142804,0.584653
8396,0.000361,-34.420020,-1.162592
8397,0.000103,-39.856905,0.507463
